datavault;src_name;src_physical_schema;stg_physical_schema;dv_physical_schema;src_table_name;stg_table_name;dv_table_name;src_column_name;src_column_order;stg_column_name;dv_column_name;dv_column_type
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;Tax_Amount;18;Tax_Amount;Tax_Amount;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;cAuditNumber;17;cAuditNumber;cAuditNumber;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;ExtOrderNum;16;ExtOrderNum;ExtOrderNum;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;Order_No;15;Order_No;Order_No;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;TaxTypeID;13;TaxTypeID;TaxTypeID;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;fForeignCredit;11;fForeignCredit;fForeignCredit;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;fForeignDebit;10;fForeignDebit;fForeignDebit;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;fExchangeRate;9;fExchangeRate;fExchangeRate;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;iCurrencyID;8;iCurrencyID;iCurrencyID;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;Credit;7;Credit;Credit;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;Debit;6;Debit;Debit;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;TrCodeID;5;TrCodeID;TrCodeID;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;Id;3;Id;Id;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;TxDate;2;TxDate;TxDate;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;Project;20;Project;Project;FOREIGN_KEY
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;Period;21;Period;Period;FOREIGN_KEY
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;AccountLink;4;AccountLink;AccountLink;FOREIGN_KEY
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;cReference2;30;cReference2;cReference2;BUSINESS_SRC_KEY
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;Reference;14;Reference;Reference;BUSINESS_SRC_KEY
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;Description;12;Description;Description;BUSINESS_SRC_KEY
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;PostGL;PostGL;SAT_CSG_10_HITNEL_GLTransaction;AutoIdx;1;AutoIdx;AutoIdx;BUSINESS_SRC_KEY
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;Project;Project;SAT_CSG_10_HITNEL_Project;Project_Checksum;17;Project_Checksum;Project_Checksum;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;Project;Project;SAT_CSG_10_HITNEL_Project;Project_iChangeSetID;16;Project_iChangeSetID;Project_iChangeSetID;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;Project;Project;SAT_CSG_10_HITNEL_Project;Project_iModifiedAgentID;15;Project_iModifiedAgentID;Project_iModifiedAgentID;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;Project;Project;SAT_CSG_10_HITNEL_Project;Project_iCreatedAgentID;14;Project_iCreatedAgentID;Project_iCreatedAgentID;OTHER_ATTR
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_10_HITNEL - Release 3.0(3);CSG_Modelling_VaultSpeed;CSG_10_HITNEL_stage;raw;Project;Project;SAT_CSG_10_HITNEL_Project;Project_iModifiedBranchID;13;Project_iModifiedBranchID;Project_iModifiedBranchID;OTHER_ATTR
