datavault;src_name;master_flag;src_physical_schema;stg_physical_schema;dv_physical_schema;src_table_name;stg_table_name;stg_table_short_name;stg_table_abbreviated_name;dv_table_name
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;Vendor;Vendor;Vendor;Vendor;HUB_Vendor
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;VenClass;VenClass;VenClass;VenClass;HUB_VendorClass
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;Project;Project;Project;Project;HUB_Project
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;PostGL;PostGL;PostGL;PostGL;HUB_GLTransaction
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;PostAR;PostAR;PostAR;PostAR;HUB_ARTransaction
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;PostAP;PostAP;PostAP;PostAP;HUB_APTransaction
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;_etblPeriodYear;_etblPeriodYear;etblPeriodYear;etblPeriodYear;HUB_FinancialYear
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;_etblPeriod;_etblPeriod;etblPeriod;etblPeriod;HUB_FinancialPeriod
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;_etblGLSegment;_etblGLSegment;etblGLSegment;etblGLSegment;HUB_GLSegment
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;Client;Client;Client;Client;HUB_Client
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;CliClass;CliClass;CliClass;CliClass;HUB_ClientClass
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;Accounts;Accounts;Accounts;Accounts;HUB_GLAccount
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;Vendor;Vendor;Vendor;Vendor;SAT_CSG_2_RESMS_Vendor
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;VenClass;VenClass;VenClass;VenClass;SAT_CSG_2_RESMS_VendorClass
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;Project;Project;Project;Project;SAT_CSG_2_RESMS_Project
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;PostGL;PostGL;PostGL;PostGL;SAT_CSG_2_RESMS_GLTransaction
CSG_DV(CSG_DV)-CSG_DV_V13(13);CSG_2_RESMS - Release 3.0(3);;CSG_Modelling_VaultSpeed;CSG_2_RESMS_stage;raw;PostAR;PostAR;PostAR;PostAR;SAT_CSG_2_RESMS_ARTransaction
